Sdisc,S0,S1,S2,S3,S4,S5
32.067138,32.9947,32.022968,32.111307,32.641343,31.978799,31.934629
33.303887,32.641343,32.022968,32.287986,32.067138,31.978799,31.183746
32.862191,34.231449,31.669611,32.155477,32.067138,31.492933,32.332155
33.436396,33.524735,31.890459,32.332155,32.155477,31.492933,32.332155
32.729682,32.641343,31.934629,31.713781,32.773852,32.022968,31.316254
33.436396,32.508834,30.786219,31.492933,31.669611,32.729682,31.625442
32.553004,32.862191,32.287986,32.332155,33.436396,31.80212,31.360424
32.818021,32.332155,31.80212,31.537102,32.243816,32.420495,31.669611
32.597173,33.171378,32.155477,32.022968,32.332155,31.095406,31.227915
33.348057,32.95053,31.051237,31.669611,32.067138,32.199647,32.067138
